Id_contenuto,durata_s,data_pubblicazione,tipo_contenuto,like,condivisioni,commenti,salvataggi,copertura,follower
18185685514289206,0,04/24/2024 22:30,Immagine di Instagram,788,32,10,19,11911,4
18320518084125926,62,04/24/2024 11:19,Reel di Instagram,760,19,12,94,13649,22
18042014590763850,82,04/23/2024 10:14,Reel di Instagram,5159,201,335,753,176568,344
18000569720329467,90,04/23/2024 02:11,Reel di Instagram,649,18,30,19,11702,7
18063363433520679,185,04/22/2024 01:33,Reel di Instagram,1476,12,20,156,32050,27
18023189324135664,0,04/20/2024 22:30,Immagine di Instagram,245,4,0,54,7606,11
18063711577481193,0,04/19/2024 22:30,Immagine di Instagram,124,1,0,6,3289,1
18039980755836080,67,04/19/2024 07:21,Reel di Instagram,1194,60,12,65,21672,29
18027541577071599,0,04/17/2024 22:30,Immagine di Instagram,464,27,3,15,7512,2
18319071766120142,172,04/17/2024 09:31,Reel di Instagram,4001,24,96,1062,427316,696
18312715084181587,0,04/16/2024 09:00,Immagine di Instagram,58,1,0,2,3299,1
18023765918095241,74,04/16/2024 02:52,Reel di Instagram,748,24,4,66,13444,11
17854491297159400,0,04/13/2024 22:30,Immagine di Instagram,406,32,10,85,13019,9
18424827211024533,0,04/12/2024 22:30,Immagine di Instagram,265,9,1,17,4382,5
18070383007495586,0,04/12/2024 01:57,Immagine di Instagram,69,6,0,0,2282,1
17921402264891507,64,04/12/2024 01:45,Reel di Instagram,634,14,4,52,11524,76
18013013075091286,0,04/11/2024 04:58,Carosello di Instagram,145,2,3,1,3206,0
18011098862136567,0,04/10/2024 22:30,Immagine di Instagram,672,32,2,24,8978,3
18089732569390410,86,04/10/2024 04:33,Reel di Instagram,676,15,21,80,13535,19
18010755221348761,0,04/08/2024 23:14,Immagine di Instagram,180,9,20,28,5586,4
18012619856082406,35,04/08/2024 03:48,Reel di Instagram,628,11,4,44,13441,11
18019869794172528,0,04/06/2024 22:30,Immagine di Instagram,945,48,12,165,33225,57
18014061908201204,0,04/05/2024 22:30,Immagine di Instagram,173,4,4,6,4869,2
18017403638276216,57,04/05/2024 03:06,Reel di Instagram,1415,19,11,96,43203,83
18041059588754348,0,04/03/2024 22:30,Immagine di Instagram,638,63,5,33,10487,7
17903164514951081,94,04/03/2024 04:26,Reel di Instagram,1000,25,13,66,14121,19
18036277861866026,178,04/02/2024 03:29,Reel di Instagram,2741,186,78,252,43665,60
18071684449604578,94,09/30/2024 11:34,Reel di Instagram,111,4,1,8,3975,0
17895503280076694,0,09/28/2024 22:30,Immagine di Instagram,514,39,4,41,12468,6
18067200439617057,382,09/28/2024 09:47,Reel di Instagram,1208,47,39,60,19227,28
18047640208802425,152,09/28/2024 01:49,Reel di Instagram,3047,241,418,106,59613,85
18047775496787217,0,09/27/2024 22:30,Immagine di Instagram,194,7,1,4,3299,0
18043415585005706,67,09/27/2024 08:44,Reel di Instagram,325,11,4,24,5931,3
18034000622515153,0,09/26/2024 23:32,Immagine di Instagram,54,5,0,7,4267,2
18457042570043433,31,09/26/2024 08:42,Reel di Instagram,353,3,0,6,5175,1
17953400156835486,0,09/25/2024 22:30,Immagine di Instagram,805,127,12,58,20658,6
17927531099952376,68,09/25/2024 22:23,Reel di Instagram,350,8,10,6,303896,2
18014477459554873,94,09/25/2024 05:29,Reel di Instagram,75,2,3,1,3206,1
18068661895539999,0,09/24/2024 01:28,Carosello di Instagram,1393,91,134,43,19909,24
17860176312248919,166,09/24/2024 00:50,Reel di Instagram,294,8,2,18,4211,1
18295161136205479,31,09/23/2024 03:25,Reel di Instagram,397,13,8,6,12210,3
18032501192196311,263,09/23/2024 02:17,Reel di Instagram,998,22,66,25,10494,13
17870242767125546,107,09/22/2024 23:01,Reel di Instagram,599,18,15,20,79598,1
18353307622141273,0,09/22/2024 11:12,Carosello di Instagram,364,6,3,2,3672,1
18464011414041225,332,09/22/2024 02:18,Reel di Instagram,433,37,21,15,40515,3
17927962715834249,2080,09/21/2024 23:13,Reel di Instagram,228,4,16,0,4816,24
18039348350291281,0,09/21/2024 22:30,Immagine di Instagram,207,7,0,58,8390,3
18248203303284872,69,09/21/2024 08:57,Reel di Instagram,694,6,27,7,9091,6
18116439169404003,0,09/20/2024 22:30,Immagine di Instagram,380,15,10,19,6263,2
